nom;quantite;unite;stock_odoo;compte_par;compte_le;envoye_le
"SM- Fond de tarte nature 8 cm";"227";"Units";"231";"YASMINA BENATTABOU";"2026-09-02T15:07:07.892+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Paris brest crue production";"119";"Units";"133";"YASMINA BENATTABOU";"2026-09-02T07:48:40.126+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Pate a choux unite";"882";"Units";"874";"YASMINA BENATTABOU";"2026-09-02T07:51:36.475+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Maizena";"3.805";"kg";"91.21";"YASMINA BENATTABOU";"2026-09-02T07:53:51.779+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Confit tropical buche pistache 25.";"0";"kg";"6";"YASMINA BENATTABOU";"2026-09-02T07:58:27.487+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Confit de framboise prod";"1949";"g";"6589";"YASMINA BENATTABOU";"2026-09-02T07:59:01.383+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Plaque mini cheese cake nature";"3";"Units";"9";"YASMINA BENATTABOU";"2026-09-02T08:01:31.839+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. mini cheese cake aromatisé (Ananas)";"0";"Units";"135";"YASMINA BENATTABOU";"2026-09-02T08:01:47.388+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Amandes Poudre";"4.624";"kg";"0.62";"YASMINA BENATTABOU";"2026-09-03T11:14:52.524+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Sucre Cassonade";"9.386";"kg";"2.39";"YASMINA BENATTABOU";"2026-09-03T11:17:10.669+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Feuilletine";"4.088";"kg";"1.59";"YASMINA BENATTABOU";"2026-09-03T11:20:50.528+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Préparation en poudre crème patissière";"9.05";"kg";"4.05";"YASMINA BENATTABOU";"2026-09-03T11:23:42.434+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Sucre Glace";"5.986";"kg";"986";"YASMINA BENATTABOU";"2026-09-03T11:24:17.032+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Levure chimique";"8.918";"kg";"3.8";"YASMINA BENATTABOU";"2026-09-03T11:29:40.177+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- 20 cm Vitrine (Praliné Amandes caramélisées)";"4";"Units";"7";"Layla";"2026-09-07T10:50:59.215+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- 20 cm Vitrine (Citron)";"23";"Units";"26";"Layla";"2026-09-07T10:51:07.944+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- 25 cm Vitrine (Citron)";"1";"Units";"2";"Layla";"2026-09-07T10:51:33.551+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Creme au beurre nature production";"10020";"g";"13038.94";"YASMINA BENATTABOU";"2026-09-02T09:46:12.536+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Ganache Chocolat BRIOCHE / TARTE";"1140";"g";"2390";"YASMINA BENATTABOU";"2026-09-02T12:05:19.35+00:00";"2026-09-03T21:13:17.195+00:00"
"SMT. Lingot Chocolat Plaque mignardise";"1.3";"Units";"236";"YASMINA BENATTABOU";"2026-09-02T14:22:28.645+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. gélée mangue ananas pistache 10 pers";"2";"Units";"2";"YASMINA BENATTABOU";"2026-09-02T15:07:07.707+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Confit de framboise finition";"4789";"g";"41";"YASMINA BENATTABOU";"2026-09-02T07:57:59.533+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Chocolat Dulcey";"0.684";"kg";"21";"YASMINA BENATTABOU";"2026-09-02T08:54:28.355+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Cake chocolat";"18";"Units";"18";"YASMINA BENATTABOU";"2026-09-02T09:14:12.406+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Mini cakes CHOCOLAT";"20";"cl";"410";"YASMINA BENATTABOU";"2026-09-02T09:15:31.591+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. pate de vanille maison";"6033";"g";"3613.62";"YASMINA BENATTABOU";"2026-09-02T09:29:26.115+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. weiss gianduja maison";"0";"g";"1100";"YASMINA BENATTABOU";"2026-09-02T09:30:21.917+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Eau 33 cl";"0";"Units";"1080";"YASMINA BENATTABOU";"2026-09-02T09:31:21.791+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Eau pétillante 50 CL";"0";"pack 12 u";"2";"YASMINA BENATTABOU";"2026-09-02T09:31:23.935+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Chocolat Barry Alunga 41%";"0";"kg";"-0.02";"YASMINA BENATTABOU";"2026-09-02T09:32:57.966+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Chocolat Macao Noir";"0";"kg";"19";"YASMINA BENATTABOU";"2026-09-02T09:33:10.254+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Chocolat Valrhona Satilia lait 38%";"0";"kg";"24";"YASMINA BENATTABOU";"2026-09-02T09:33:18.348+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Chocolat Valrhona Satilia Noir 62%";"0";"kg";"39.21";"YASMINA BENATTABOU";"2026-09-02T09:33:20.584+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Malteser";"0";"g";"759";"YASMINA BENATTABOU";"2026-09-02T09:33:28.041+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Subleme fleur d'oranger pistache";"641";"g";"2833.42";"YASMINA BENATTABOU";"2026-09-02T09:33:57.623+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Cure dent";"0";"Units";"13";"YASMINA BENATTABOU";"2026-09-02T09:34:20.848+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Perles CD";"0";"g";"4030";"YASMINA BENATTABOU";"2026-09-02T09:34:22.146+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Pâte à Sucre Noire";"0";"kg";"49";"YASMINA BENATTABOU";"2026-09-02T09:34:24.354+00:00";"2026-09-03T21:13:17.195+00:00"
