nom;quantite;unite;stock_odoo;compte_par;compte_le;envoye_le
"SM. Confit exotique Production";"1188";"kg";"1.19";"YASMINA BENATTABOU";"2026-09-03T12:03:28.37+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Crème légère vanille citron";"1284";"g";"1284";"YASMINA BENATTABOU";"2026-09-03T12:04:30+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- 30 cm Vitrine (Citron)";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T12:05:48.409+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- base flan vanille 20 cm";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T12:05:50.42+00:00";"2026-09-03T21:13:17.195+00:00"
"Sm- Biscuit Tagatesse";"0.806";"kg";"-0.77";"YASMINA BENATTABOU";"2026-09-03T12:07:04.672+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Biscuit brownie 10 pers";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T12:07:29.581+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Biscuit brownie 5 pers";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T12:07:32.484+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Biscuit chocolat Gianduja Indiv";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T12:07:36.872+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Creme au beurre citron Production";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T12:07:41.458+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. crunchy GIANDUJA";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T12:07:45.982+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. mousse meringue citron 10 pers";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T12:07:53.847+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Sable Crispy Unité";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T12:07:58.513+00:00";"2026-09-03T21:13:17.195+00:00"
"Sm.crunchy pistache  10 pers";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T12:08:19.409+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Mini cakes PRALINE";"44";"cl";"465";"YASMINA BENATTABOU";"2026-09-02T09:14:39.797+00:00";"2026-09-03T21:13:17.195+00:00"
"SM.meringue déco buche 25";"0";"kg";"3.07";"YASMINA BENATTABOU";"2026-09-02T09:30:26.801+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Chocolat Macao Blanc";"0";"kg";"149.26";"YASMINA BENATTABOU";"2026-09-02T09:33:16.622+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Chocolat sellou caramel croustillant";"0";"kg";"-8.4";"YASMINA BENATTABOU";"2026-09-02T09:37:37.391+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Biscuit vieniess cacao";"2";"Units";"16";"YASMINA BENATTABOU";"2026-09-02T09:54:55.773+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. creme patissiere citron finition";"0";"g";"640";"YASMINA BENATTABOU";"2026-09-02T09:55:58.757+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Purée de Coco";"2000";"g";"3877.5";"YASMINA BENATTABOU";"2026-09-02T12:22:29.279+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Chapelure";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:00:17.032+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Eau robinet";"200000";"g";"-3676146.36";"YASMINA BENATTABOU";"2026-09-03T11:01:34.92+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Pr Buche  passion framboise 10 pers  25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:04:54.647+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Brioche FEUILLETE";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:44:23.428+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Nutella";"0";"kg";"0.91";"YASMINA BENATTABOU";"2026-09-02T09:34:34.744+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Margarine Bonna";"0";"kg";"40";"YASMINA BENATTABOU";"2026-09-02T09:35:20.68+00:00";"2026-09-03T21:13:17.195+00:00"
"SM Fourrage nougat CD";"0";"g";"-3543";"YASMINA BENATTABOU";"2026-09-02T09:36:10.335+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Cigare amande Orange";"0";"Units";"1030";"YASMINA BENATTABOU";"2026-09-02T09:37:19.043+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. gélée mangue ananas pistache";"0";"g";"85";"YASMINA BENATTABOU";"2026-09-02T09:57:48.209+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Cremeux pistache indiv Production";"66";"Units";"66";"YASMINA BENATTABOU";"2026-09-02T10:19:08.564+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Noix de Coco rapée";"0";"kg";"0.75";"YASMINA BENATTABOU";"2026-09-02T10:41:26.594+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Batons Chocolat Valrhonna 48%";"0";"kg";"22.47";"YASMINA BENATTABOU";"2026-09-02T12:26:30.813+00:00";"2026-09-03T21:13:17.195+00:00"
"SM-Pr Suprême Pistache version Maatouk";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T09:45:27.198+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- DIY Sablés Halloween";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T09:47:45.748+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Buche  passion framboise 5 pers 25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:08.75+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Craquant buche  pistache 25";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:03:13.383+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Pr Buche noisette dulcey 5 pers 25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:05:12.944+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. mini cheese cake aromatisé (Fruits Rouges)";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:35:29.851+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Pr Cheesecake Exotique indiv";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:48:07.896+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Subleme fromage  passion";"1065";"g";"1067.4";"Layla";"2026-09-07T10:52:01.716+00:00";"2026-09-03T21:13:17.195+00:00"
"SMT. creme patissiere citron ";"0";"g";"480";"YASMINA BENATTABOU";"2026-09-02T09:48:28.954+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Namlaka Pistache";"0";"g";"752";"YASMINA BENATTABOU";"2026-09-02T09:49:16.714+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. gélée mangue ananas pistache indiv";"36";"Units";"33";"YASMINA BENATTABOU";"2026-09-02T15:07:07.555+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. sirop Imbibage production KG";"1.115";"kg";"11.6";"YASMINA BENATTABOU";"2026-09-02T10:00:37.075+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. crumble gianduja";"0";"g";"-27";"YASMINA BENATTABOU";"2026-09-02T10:29:41.989+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Chocolat blanc Zephyr";"0";"kg";"120";"YASMINA BENATTABOU";"2026-09-02T12:26:08.524+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Tube crémeux citron";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T10:58:38.996+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Sésame Blanc";"0";"g";"-17854.7";"YASMINA BENATTABOU";"2026-09-03T11:01:01.872+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Biscuit chocolat Gianduja 10 pers";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:33:47.842+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Biscuit vieness blanc";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:33:59.075+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Farce Chebakia";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:34:46.854+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Subleme passion baba";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:46:02.088+00:00";"2026-09-03T21:13:17.195+00:00"
"Sm- PR Le Citron Framboise (5)";"2";"Units";"2";"YASMINA BENATTABOU";"2026-09-03T11:59:50.169+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Biscuit a la cuillere Indiv";"59";"Units";"59";"YASMINA BENATTABOU";"2026-09-03T12:01:16.47+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Tarte citron gin Indiv";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T12:07:25.799+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Glacage chocolat GIANDUJA Finition";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T12:07:51.279+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- 25 cm Vitrine (Praliné Amandes caramélisées)";"4";"Units";"3";"Layla";"2026-09-07T10:51:35.438+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Chocolat Valrhona Ivoire 35%";"3.233";"kg";"13.96";"YASMINA BENATTABOU";"2026-09-02T10:05:41.209+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Chocolat Callebaut Couverture Blanc";"4.749";"kg";"83.7";"YASMINA BENATTABOU";"2026-09-02T10:07:09.702+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Bombe Crème Chantilly";"0";"Units";"8";"YASMINA BENATTABOU";"2026-09-02T10:42:01.416+00:00";"2026-09-03T21:13:17.195+00:00"
"SM/ beurre clarifie";"884";"g";"-33409.69";"YASMINA BENATTABOU";"2026-09-02T10:52:04.029+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Purée de Framboise";"7000";"g";"-7688.6";"YASMINA BENATTABOU";"2026-09-02T12:20:35.131+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. mousse meringue citron indiv";"101";"Units";"27";"YASMINA BENATTABOU";"2026-09-02T11:11:50.913+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Marmelade passion mangue";"0";"kg";"1.65";"YASMINA BENATTABOU";"2026-09-02T11:53:39.673+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Buche citron meringué 5 pers Prod 2024";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:19.102+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Buche supreme 10 pers Prod 2024";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:36.034+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Galette Praliné Noisette Crue (6)";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:04:37.477+00:00";"2026-09-03T21:13:17.195+00:00"
